Category,Model,Papers Evaluated,Overall F1,Overall Precision,Overall Recall,Overall Accuracy,BERTScore Aggregate,model_name_F1,parameters_F1,innovation_F1,extension_F1
Vision,qwen3-vl-30b-a3b-instruct,67,0.6195488721804511,0.5156445556946183,0.775894538606403,0.469601677148847,0.8501851504328866,1.0,0.4411764705882353,0.9904761904761905,0.0
Think / Reasoning,deepseek-r1-distill-llama-70b,60,0.6047619047619047,0.49674054758800523,0.7728194726166329,0.45751633986928103,0.84927496612072,1.0,0.38095238095238093,0.99009900990099,0.0
Think / Reasoning,qwen3-235b-a22b,20,0.640495867768595,0.541958041958042,0.7828282828282829,0.49122807017543857,0.8519525831205804,1.0,0.3478260869565218,1.0,0.0
Think / Reasoning,qwen3-30b-a3b-thinking-2507,104,0.581275720164609,0.5280373831775701,0.6464530892448512,0.44850948509485095,0.8468046869204297,1.0,0.35051546391752575,0.9876543209876543,0.0
Instruction Tuned,llama-3.3-70b-instruct,56,0.6320272572402045,0.5322812051649928,0.7777777777777778,0.48936170212765956,0.8516376483524944,1.0,0.43333333333333335,0.989247311827957,0.0
Instruction Tuned,mistral-large-3-675b-instruct-2512,62,0.6388244392884764,0.5117719950433705,0.8497942386831275,0.4912854030501089,0.8486537726876003,1.0,0.43076923076923074,0.99009900990099,0.0
Instruction Tuned,qwen3-30b-a3b-instruct-2507,71,0.6310810810810811,0.5065075921908894,0.8369175627240143,0.47701149425287354,0.8484504807587953,1.0,0.4533333333333333,0.9913043478260869,0.0
Unknown,Qwen/Qwen3-4B-Thinking-2507,25,0.40390879478827363,0.5299145299145299,0.3263157894736842,0.4019607843137255,,1.0,0.1111111111111111,0.0,0.0
Unknown,meta-llama/Llama-3.2-1B-Instruct,35,0.4953271028037384,0.48623853211009177,0.5047619047619047,0.4,0.8427684307098389,1.0,0.0,0.8235294117647058,0.0
Unknown,meta-llama/Llama-3.2-3B-Instruct,27,0.6214209968186639,0.5991820040899796,0.6453744493392071,0.4780701754385965,0.8453799837453354,1.0,0.05128205128205127,0.7333333333333334,0.0
